Time,BTCUSDT,ETHUSDT,BNBUSDT,NEOUSDT,LTCUSDT,QTUMUSDT,ADAUSDT,XRPUSDT,EOSUSDT,IOTAUSDT,XLMUSDT,ONTUSDT,TRXUSDT,ETCUSDT,ICXUSDT,NULSUSDT,VETUSDT,LINKUSDT,WAVESUSDT,ONGUSDT,HOTUSDT,ZILUSDT,ZRXUSDT,FETUSDT,BATUSDT,XMRUSDT,ZECUSDT,IOSTUSDT,CELRUSDT,DASHUSDT,OMGUSDT,THETAUSDT,ENJUSDT,MITHUSDT,MATICUSDT,ATOMUSDT
2019-05-17,7355.26,244.3,25.7795,11.265,89.76,2.887,0.08275,0.38862,6.0353,0.3924,0.13084,1.3766,0.027,7.2659,0.3735,0.699,0.00755,0.8911,2.4135,0.3878,0.0015095,0.01766,0.3126,0.1709,0.3715,82.61,73.34,0.012296,0.01352,139.49,1.99,0.114,0.16189,0.03895,0.01455,4.413
2019-05-18,7257.45,233.6,28.8171,10.7,86.51,2.826,0.07872,0.37183,5.8813,0.3798,0.13129,1.308,0.02644,7.16,0.371,0.6832,0.007729,0.9359,2.3813,0.3966,0.0014971,0.01694,0.3242,0.1615,0.3731,79.75,71.91,0.011807,0.01247,141.03,1.8872,0.11934,0.14734,0.04589,0.01235,4.684
2019-05-19,8148.48,259.51,29.1122,11.655,94.58,3.14,0.08613,0.41631,6.4581,0.4219,0.14264,1.4185,0.02825,7.765,0.3822,0.7078,0.007879,0.9934,2.5318,0.4075,0.0015162,0.01753,0.3366,0.2059,0.3813,90.09,77.6,0.012385,0.01727,172.14,2.0995,0.1162,0.15288,0.04674,0.02018,4.852
2019-05-20,7938.15,250.37,29.2666,11.998,91.1,3.09,0.08439,0.39636,6.2144,0.4026,0.13495,1.3682,0.02782,7.3647,0.369,0.6921,0.007665,1.117,2.4393,0.4279,0.0017227,0.01731,0.3174,0.2709,0.3603,87.19,75.95,0.012061,0.02114,166.45,2.0274,0.113,0.15303,0.05399,0.0295,4.673
2019-05-21,7904.87,253.43,32.3907,12.079,90.79,3.153,0.08403,0.39524,6.2589,0.4127,0.13359,1.3818,0.0283,7.385,0.4016,0.7379,0.007703,1.1798,2.4716,0.4329,0.0018391,0.02085,0.3308,0.2285,0.3643,88.51,74.51,0.01292,0.01793,165.71,2.1054,0.11373,0.17,0.05112,0.02953,4.743
2019-05-22,7628.43,243.64,30.8067,11.154,87.74,2.853,0.07749,0.37183,5.9285,0.3824,0.12173,1.317,0.02655,6.9025,0.3745,0.7123,0.00711,1.2205,2.3588,0.428,0.0017299,0.02163,0.3026,0.1686,0.3424,83.07,69.73,0.0115,0.01363,153.87,1.9122,0.1055,0.15488,0.0459,0.02209,4.306
2019-05-23,7851.51,244.56,31.3934,11.411,88.61,2.872,0.08034,0.37956,6.0157,0.3859,0.12483,1.3122,0.02696,7.0552,0.3815,0.7596,0.00745,1.3392,3.28,0.4453,0.0020533,0.0203,0.313,0.1789,0.348,84.69,71.91,0.011714,0.01466,154.06,1.9059,0.10916,0.16721,0.04651,0.02739,4.337
2019-05-24,7964.87,248.87,33.9435,11.519,100.5,2.916,0.08062,0.38286,6.4064,0.3806,0.12522,1.3368,0.02761,7.2925,0.386,0.7532,0.007361,1.3314,2.6733,0.4436,0.0019746,0.01924,0.3144,0.1585,0.3508,85.44,72.38,0.012067,0.01354,155.8,1.9722,0.1182,0.16081,0.04887,0.02529,4.454
2019-05-25,8025.41,250.22,35.0168,11.416,102.66,2.899,0.08006,0.3852,6.3603,0.3819,0.12475,1.3495,0.0276,7.2763,0.3766,0.7656,0.007344,1.113,2.717,0.4702,0.0019174,0.0201,0.3216,0.1777,0.3476,86.8,72.3,0.012152,0.01384,156.02,1.9636,0.13695,0.16634,0.0504,0.02475,4.385
2019-05-26,8614.43,264.45,33.0919,11.836,111.0,3.062,0.08514,0.40372,6.8511,0.4057,0.1316,1.4067,0.0307,7.6004,0.3786,0.7683,0.007523,1.0828,2.679,0.4704,0.0020526,0.01953,0.3247,0.1741,0.3497,91.3,75.32,0.012916,0.01419,161.96,2.0589,0.12353,0.159,0.05716,0.02419,4.481
